序号,姓名,科室,职称,好评率,关注数,擅长领域
1,李钰,外科,副主任医师,96,2578,"股骨头骨坏死治疗，膝关节及髋关节置换手术，关节镜下交叉韧带重建，半月板成型及缝合，髋关节疾病盂唇损伤，腰椎间盘及腰椎管狭窄手术"
2,徐彬,外科,主任医师,99,11232,"骨创、骨病、关节及脊柱疾病的诊治，骨科常见病及多发病的诊断和治疗"
3,阴崇娟,儿科,副主任医师,99,2743,"新生儿疾病、小儿呼吸、消化及免疫系统疾病方面"
4,夏莉,儿科,主治医师,98,4166,"新生儿黄疸、小儿呼吸系统疾病、小儿腹泻"
5,范淑兰,儿科,主治医师,99,11174,"小儿血液系统疾病，小儿呼吸系统疾病"
6,王文英,儿科,主治医师,99,7659,"儿内科疾病的诊治、小儿心血管专业及小儿营养和营养性疾病的康复"
7,任杰,儿科,主任医师,95,11300,"新生儿疾病，小儿心血管疾病"
8,李新景,儿科,主任医师,97,5438,"新生儿疾病，小儿内分泌疾病"
9,王希琴,妇产科,主治医师,100,7856,"治疗尿石症，治疗妇科血证，治发热"
10,于利君,妇产科,副主任医师,95,11838,"子宫肌瘤、宫颈癌、卵巢癌、外阴癌、月经不调、高泌乳素血症、功能失调性子宫出血、卵巢囊肿、卵巢早衰"
11,张三元,妇产科,主任医师,100,10294,"妇科肿瘤、妇分泌相关疾病"
12,赵烨,妇产科,主任医师,99,2602,"妇科肿瘤、子宫内膜疾病、卵巢疾病、卵巢肿瘤、子宫肌瘤、子宫内膜异位症、子宫内膜息肉"
13,史小荣,妇产科,主任医师,97,7460,"子宫内膜炎、子宫内膜异位症、宫腔粘连、宫腔积液、子宫肌瘤、宫颈癌、卵巢癌、阴道炎、外阴白斑、盆腔炎、输卵管堵塞、月经不调、巧克力囊肿、黄体破裂"
14,张瑞,外科,副主任医师,100,9368,"肝胆胰脾、门脉高压症等疾病的诊治及微创外科治疗，肝脏移植"
15,徐钧,外科,主任医师,99,2649,"肝胆胰外科，肝脏移植，微创外科手术"
16,薛英,外科,主任医师,96,6402,"骨科疾病的诊断与治疗;擅长骨关节疾病的预防、诊断及治疗;足踝疾病的诊治及咨询"
17,高宏,外科,主任医师,100,5752,"颈椎疾病和腰椎疾病的临床研究"
18,康思宁,外科,副主任医师,98,5500,"骨关节创伤，退行性疾患的诊治"
